_id;webTitle;type;sectionId;sectionName;webPublicationDate;webUrl;apiUrl;source
nyt://article/9a6f8109-2111-57b9-a68b-938392d260ae;Investors seemed to be reacting to a growing sense that the dispute between Washington and Beijing was deepening and would continue indefinitely.;News;Business;Business Day;23/05/2019;https://www.nytimes.com/2019/05/23/business/shares-stock-markets.html;nyt://article/9a6f8109-2111-57b9-a68b-938392d260ae;The New York Times
nyt://article/6980c4f8-7c99-5d6b-83f4-9ebb6c92977b;Shares of Qualcomm, Nvidia and other American chip makers have tumbled as the companies find themselves at the center of the dispute between the U.S. and China.;News;Business;Business Day;23/05/2019;https://www.nytimes.com/2019/05/23/business/dealbook/semiconductor-stocks-trade-war.html;nyt://article/6980c4f8-7c99-5d6b-83f4-9ebb6c92977b;The New York Times
nyt://article/1cd03ad1-0a79-5c0d-a405-a2e8f5189032;San Francisco demonstrated that technologies believed to be damaging to citizens’ well-being can be curtailed.;News;Business;Technology;17/05/2019;https://www.nytimes.com/2019/05/17/technology/san-francisco-facial-recognition.html;nyt://article/1cd03ad1-0a79-5c0d-a405-a2e8f5189032;The New York Times
nyt://article/86eccb8a-d848-5294-ada8-1596d7282a0c;The move against Hikvision would mark another step to counter China’s economic ambitions, and the first time the administration punished a company for China’s detention of Uighurs.;News;Business;U.S.;22/05/2019;https://www.nytimes.com/2019/05/21/us/politics/hikvision-trump.html;nyt://article/86eccb8a-d848-5294-ada8-1596d7282a0c;The New York Times
nyt://article/b84c7eda-f02f-57b5-933f-155647dbe4e3;This week’s Canada Letter features excerpts from The Times’s recent interview with Canada’s prime minister, whose political fortunes have fallen.;briefing;Foreign;World;17/05/2019;https://www.nytimes.com/2019/05/17/world/canada/snc-lavalin-justin-trudeau-federal-election.html;nyt://article/b84c7eda-f02f-57b5-933f-155647dbe4e3;The New York Times
nyt://article/14aa5b86-1a13-511c-9302-b2e30b633e64;Rising tensions between the U.S. and Iran. ;briefing;NYTNow;Briefing;15/05/2019;https://www.nytimes.com/2019/05/15/briefing/iran-abortion-indias-election.html;nyt://article/14aa5b86-1a13-511c-9302-b2e30b633e64;The New York Times
nyt://article/ffa1385a-7cea-558f-9e2f-48c2e84e3a07;Mr. Shorten, the front-runner to become prime minister, sees trade with China as crucial to fulfilling his economic promises. Critics fear he could make concessions that increase China’s sway.;News;Foreign;World;15/05/2019;https://www.nytimes.com/2019/05/15/world/australia/bill-shorten.html;nyt://article/ffa1385a-7cea-558f-9e2f-48c2e84e3a07;The New York Times
nyt://article/011edd74-ea39-56cd-a235-61feaa71b51a;It’s been a busy week in American politics. Here are some of the stories you might have missed.;News;Politics;U.S.;18/05/2019;https://www.nytimes.com/2019/05/18/us/politics/biggest-stories-of-the-week.html;nyt://article/011edd74-ea39-56cd-a235-61feaa71b51a;The New York Times
nyt://article/fff690c9-b9ea-5b38-a013-f2f823a8d0eb;Experts say the debate between Trish Regan and Liu Xin will help a Communist Party-controlled television network raise its profile in America, where it has struggled to gain a foothold.;News;Foreign;World;29/05/2019;https://www.nytimes.com/2019/05/29/world/asia/trish-regan-liu-xin-fox-debate.html;nyt://article/fff690c9-b9ea-5b38-a013-f2f823a8d0eb;The New York Times
nyt://article/0b7887ac-f572-5da6-b604-3acee3a344ea;What do the European elections mean?;briefing;NYTNow;Briefing;27/05/2019;https://www.nytimes.com/2019/05/27/briefing/tokyo-eruopean-elections-renault.html;nyt://article/0b7887ac-f572-5da6-b604-3acee3a344ea;The New York Times
